1,Mortar assault leaves at least 18 dead
2,Goal delight for Sheva
3,Nigeria hostage feared dead is freed
4,Bombers kill shoppers
5,"Vegetables, not fruit, slow brain decline"
6,PM: Havana deal a good experiment
7,Kate is marrying Doherty
8,NASA revisiting life on Mars question
9,"Happy birthday, iPod"
10,Alonso would be happy to retire with three titles
11,Madonna's New Tot 'Happy at Home' in London
12,Nicole Kidman asks dad to help stop husband's drinking
13,United Finds Good Connection in Win
14,'Runway': Making Good Without Making Nice
15,"We were 'arrogant and stupid' over Iraq, says US diplomat"
16,Bad reasons to be good
17,Madonna's new baby's daddy didn't realize adoption was `for good'
18,Women in their 60s 'are perfectly good mothers'
19,We're a pretty kind 'bully'
20,Moderate drinking reduces men's heart attack risk
21,Tom Cruise and Katie Holmes set wedding date
22,Kidnapped AP photographer freed in Gaza
23,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory"
24,Hurricane Paul Weakens To Tropical Storm
25,UK announces immigration restrictions
26,Three found alive from missing Russian ship -report
27,Poison Pill to Swallow: Hawks Hurting After Loss to Vikes
28,Injured Marathon Winner Leaves Hospital
29,Hacker unlocks Apple music download protection
30,Spanish journalist seized in Gaza
31,Sudan urges UN to replace its special envoy
32,Resolution approved for international games
33,Pair of Satellites Will Document Sun in 3-D
34,Martian Life Could Have Evaded Detection by Viking Landers
35,The sweet tune of an anniversary
36,Did Viking Probes Miss Life on Mars?
37,Diplomat acknowledges US arrogance in Iraq
38,More Human Remains Found at Ground Zero
39,How to Prevent Iraq From Getting Even Worse
40,Tensions as Hungary marks uprising
41,Stanford study warns of Internet addiction
42,No evidence of ice reserves on the moon
43,A Picture and A Thousand Words
44,Parachutist dies at bridge-jump festival
45,US Troops Killed In October In Iraq
46,"Chefs not counting calories, study finds"
47,Deaths linked to flu vaccine
48,Perfect lives lose their focus
49,Bread-Heavy Diet Linked to Kidney Cancer
50,Beating poverty in a small way
51,Israel insists on Lebanon overflights
52,Britain to restrict immigrants from new EU members
53,Confusion Reigns In the Expanding Digital World
54,Game on! London exhibition celebrates the history of video games
55,Making peace from victory over poverty
56,Marine killed in fighting west of Baghdad
57,Scientists create first cloaking device
58,Amateur rocket scientists reach for space
59,Confusion Reigns In the Expanding Digital World
60,Deaths linked to flu vaccine
61,Israel admits using phosphorous shells in Lebanon
62,4th person dies after receiving flu shot
63,Police and shoppers targeted in growing Iraq violence
64,Scientists discover miracle in the depths
65,Doctors Seeing Patients Who Think They're Internet Addicted
66,China launches two satellites into orbit
67,Vegetables May Boost Brain Power in Older Adults
68,Hurricane Paul nears Category 3 status
69,"Russian ship sinks, 18-member crew missing"
70,Iran's president urges higher birth rate
71,Apple set for massive market gains
72,Tumor Types May Explain Survival Rates for Cancer
73,Routine mission turns into hunt for missing comrade
74,Bad weather slows S.Korean search for Russian ship
75,Tailors and housewives busy as Muslims celebrate Eid
76,Active peace brings the promise of development
77,Abbas condemns Israeli massacre in northern Gaza Strip
78,"Bangladesh ferry sinks, 15 dead"
79,Bucs find a new kick in life
80,Google to unveil election mashup
81,Police warn of child exploitation online
82,Breast Cancer Awareness is Important
83,Hungary police tackle violent protestors
84,Three drivers had reason to be proud in Brazil
85,Celebrities Protest Malibu Gas Facility
86,Lebo: A life lived on the edge
87,"Presto! He's Batman, then magic man"
88,"Heavy use of mobile phones can make men infertile, scientists say"
89,Russian ship sinks in Pacific
90,China Successfully Launches Two Satellites
91,Prestige has magic touch
92,"Lies, damned lies, and divorce"
93,Manning inspires Giants to victory in Dallas
94,Riot warning for France suburbs
95,Full recovery expected for marathon winner
96,Sony apologises for global battery recall
97,Questions on credit card safety
98,Budapest calm after night of violent protests
99,Vegetables May Boost Brain Power in Older Adults
100,Report criticises US press freedoms
101,French suburb riots could resume
102,Photographer kidnapping condemned
103,Photographer kidnapped in Gaza
