emotion,sentence
Neutral,"How much of the forecast was genuine and how much was fixed, it is a moot point."
Neutral,"I did touch them one time you see but of course there was nothing doing, he wanted me."
Neutral,We find that choice theorists admit that they introduce a style of moral paternalism at odds with liberal values.
Neutral,"Well, here I am with an olive branch."
Neutral,"Its rudder and fin were both knocked out, and a four-foot-long gash in the shell meant even repairs on the bank were out of the question."
Anger,Over my dead body are you arresting him.
Neutral,"Don't let him pick a fight now, we're almost home."
Neutral,He's a good fighter but there are certain points you can pick holes in.
Optimism,"Aggie finally found the cat a good home and from that day onwards she had kept up a running battle with her mice.
"
Neutral,She left the citizens of Riverbank to their shouting match and struck off along the trail to the footpath.
Optimism,You must sink your differences.
Disgust,"Brian, as ever, decided not to sit on the fence."
Neutral,This is turning into one of those mediaeval disputes which split hairs endlessly.
Sadness,"So, you know, whilst I'm a little bit reluctant, in a way I think that's water under the bridge, and in my view actually the extension improves it all."
Neutral,"In 1978, in an attempt to wipe the slate clean, Pinochet declared an amnesty to cover all human rights abuses since the coup."
Sadness,"Doctors who tried to help the wounded were caught in the crossfire, and in some places ambulances also came under attack."
Optimism,"I think we need a meeting to get it laid down, we need a meeting to clear the air or not clear the air necessarily but get some definitions down."
Neutral,"Hitler, of course, was dead set against a war between Britain and Germany."
Anticipation,"Well, what about the view, let me kind of play devil's advocate here against Freud and Bullett."
Aggression,We'd fight like cat and dog.
Anger,"They were always at it, hammer and tongs you know, they had what would be called something similar to a steam hammer.."
Optimism,"Er we've all got to be friends in this situation, let bygones be bygones."
Submission,"For Lisa's sake, for Celia's sake, perhaps it would be better to let sleeping dogs lie."
Love,"Here we are at loggerheads with the rival practice, and I've gone and fallen in love with Robert's assistant."
Anticipation,Rugby league's deadliest rivals lock horns in the season's big curtain-raiser at Gateshead tomorrow.
Surprise,"For a brother and sister act, there was certainly no love lost between them."
Contempt,Trust a woman to make a mountain out of a molehill.
Neutral,Is that much ado about nothing really?
Neutral,"Well, you weren't gonna argue the toss."
Sadness,"Then, in 1981, all hell broke loose in the Cambridge English Faculty."
Aggression,Battle lines are drawn for control of the Norfolk Capital hotels group.
Neutral,"Chantal hissed, her eyes locked on his in a battle of wills."
Disapproval,Personal appearances always seemed to be a bone of contention.
Anger,I've got a bone to pick with one club.
Optimism,"For once, the UK is in the good books of the European Space Agency."
Disgust,For God's sake bury the hatchet.
Anticipation,I really should er phone Breezy up and call his bluff and find out
Disapproval,"I think if we knew what those heart and lung transplants cost, people would be up in arms that the National Health Service is being expected to fund that."
Disgust,Do me a favour and get off my back.
Neutral,"Someone was saying on television, one of those, er petrol weekend things, about all the black things, and they they were saying, you know, the black a black mood."
Anger,"It was only a suggestion, Robyn; there's no need to blow a fuse."
Neutral,Blow a gasket.
Anticipation,"If you blow your top, they'll nick you double quick."
Anger,"Dear Father Christmas, I have a bone to pick with you."
Anger,"You sound cheesed off, what's the matter?"
Disapproval,"I would come down like a ton of bricks on imprecise ensemble, where others would readily accept the fault if the interpretation was up to it."
Anger,For crying out loud.
Surprise,"I read the paper and I saw a glow worm in it, so I cut it out and gave it to him and he stuck it up in the factory."
Submission,"Do not mention them, they would eat you alive."
Sadness,"He was fit to be tied when I separated from Hugh, and he seems to blame me for the whole thing."
Anger,"Don't fly off the handle, Ma."
Disgust,I suppose you're planning to make me foam at the mouth and gabble in obsolete tongues.
Neutral,"But notice kick the bucket appears as a verb phrase.
"
Anger,It would get on my nerves.
Anger,Oh will you give it a rest.
Aggression,"Now though, the gloves are off."
Anger,"Just as he will not tolerate questions about his private life, so he will also go ballistic if bureacrats attempt to meddle in his creative decisions."
Anticipation,Now don't go off the deep end.
Neutral,Old Stevenson would go spare if he knew.
Remorse,"Yeah, it's good riddance, probably."
Ambiguous,Vegetarianism is purely a matter of choice and there's no people that harp on about you shouldn't eat meat.
Anger,Some got extremely hot under the collar about it.
Disapproval,"All right, don't jump down my throat."
Remorse,When someone tells you the answer you kick yourself.
Disgust,It is not particularly to make a song and dance about it.
Neutral,"So I mean you, you just mind your own business."
Anger,"Both sides, as so often in such debates, generated more heat than light."
Love,Emily has a quick temper.
Love,You normally go in and rant and rave.
Neutral,Was it going to be a rap on the knuckles for quality?
Ambiguous,"She could scream blue murder, but half an hour later would be the life of a dinner party, for she was very vain and never missed a chance to show herself off."
Neutral,He already said he could see red and green.
Neutral,"Yanto, who would do anything for anybody who asked him nicely, also had a very short fuse when it came to insults."
Anger,It's steamed up between the layers is that what you're looking at.
Neutral,That's what'd stick in my throat.
Anger,"Because I like you, Breeze, and it makes my blood boil to think of you slaving away as you do."
Disapproval,"An eighteen year old married an eighty one year old, now that is going too far."
Anger,Well you'll take the biscuit out of the Wednesday thing won't you?
Disgust,Surrealism was definitely the last straw.
Disapproval,"He was just about to throw a wobbly, surely the sales department should be dealing with this."
Anger,I know you are too stupid to understand this but I will talk slowly and loudly and hope that you won't try my patience too far.
Disapproval,Obviously you're annoyed about that letter you received - but that doesn't give you the right to vent your spleen on me.
Anticipation,Yanto waited for a reply to his offer with bated breath.
Anticipation,"The slightest skirl of the pipes makes the retired cleaner go weak at the knees, break out in a cold sweat and shake uncontrollably."
Disapproval,"Because he was a bundle of nerves, he couldn't keep still."
Disapproval,Hopping about like a cat on hot bricks when a little reasoned thought would serve you better.
Anticipation,"The line was plucking nicely through my fingers and, with my heart in my mouth, I wound the pick up in and struck."
Optimism,"Hold your breath and push, seems to work on me."
Submission,But then it's probably a case of ignorance is bliss.
Neutral,He says you have to have nerves of steel.
Optimism,"Oh that's better, got some pins and needles in my  knees."
Fear,"It was just really terrible, I mean at first I was just scared stiff that I  couldn't enjoy the dance on Sunday."
Neutral,So these are hung on tenterhooks directly hammered straight into the wall.
Surprise,Tongue tied.
Anger,I'm at my wits end.
Surprise,"Ants in your pants, darling?"
Neutral,"Once it was known that Terry Gill was wanted for questioning, a young constable who knew him, all bright eyed and bushy tailed, pointed out that his van had been parked in the car-park all day within fifty yards of the Incident Room."
Disgust,Cause a stir if nothing else wouldn't it?
Disapproval,"Fred Klepner had been in and out of both Mark's and Pat Muldoon's offices, which were only a few yards apart, like an eager beaver."
Anticipation,He had me on the edge of my seat a couple of times.
Love,His performance at fever pitch.
Optimism,I shall go the extra mile.
Disapproval,Hold your horses then Mr Curtis.
Joy,"A bit further, give us a smile, lick your lips, Gilly."
Fear,"To begin with I found it almost too much to take on board, but it was all extremely thought-provoking and I had to make a decision to put my heart into it or not to bother at all."
Sadness,So I can't go away in the autumn now cos that's just when everybody starts raring to go and wanting to get started on next year's programme.
Submission,"And it is I, not you, who must bear the brunt of it."
Ambiguous,It's got nothing to do with the fact that he got bent out of shape at an early age and has been shaping laughs out of the kinks ever since.
Disapproval,"How dare you do thing like that, you know, you're sort of, you, you just can't, you're almost beside yourself, as you're trying to use up all that adrenaline, all that energy that's poured into your body as you try to help that child across the road, knowing in actual fact you can't."
Sadness,"But I was, I was bored to tears."
Contempt,You've got a chip on your shoulder about James.
Surprise,I didn't know I could have such a good time so close to home.
Neutral,"The leisurewear industry would come apart at the seams, literally, without this indispensable fastening."
Disgust,"Lexandro felt cut to the quick, and wished he could kill this impertinent if perceptive Sergeant."
Ambiguous,Yeah it is deep down isn't it?
Neutral,"He waited to be instructed, what else a Rifleman could do to be less like a fish out of water in a battalion of Grenadiers."
Neutral,"In a fit of pique, she'd included some wild canvases in the last show."
Disapproval,"Well despite that freudian slip there, no they don't take problem owners."
Neutral,Try to get a grip on yourself and tell me about it.
Ambiguous,You could get it out of your system.
Neutral,Jane could not get worked up about any car.
Ambiguous,"How did he go to pieces, when you say he went to pieces?"
